priority,opportunity_score,infra_fit,buying_intent,timing,company_name,siren,naf,city,employees,sites,top_signal,calculated_at
CRITICAL,100.0,100.0,100.0,100.0,Unknown,,,,,,GPU / HPC / IA,2026-09-09T19:47:01.292256+00:00
HOT,81.7,55.0,100.0,87.0,{'hun': ['NISZ – Nemzeti Infokommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.845657+00:00
WARM,79.4,55.0,95.0,87.0,{'ces': ['Ministerstvo zdravotnictví']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.862019+00:00
WARM,79.4,55.0,95.0,87.0,"{'pol': ['Telewizja Polska S.A. wpisana do Rejestru Przedsiębiorców Krajowego Rejestru Sądowego prowadzonego przez Sąd Rejonowy dla m.st. Warszawy, XIII Wydział Gospodarczy Krajowego Rejestru Sądowego, pod numerem KRS 0000100679, NIP 521-04-12-987, Regon: 010418973']}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.867751+00:00
WARM,79.4,55.0,95.0,87.0,"{'lav': ['Eiropas Komisija, direction générale de l\'informatique, direction ""Gestion des ressources et optimisation"", unité ""Passations de marchés et gestion de contrats""'], 'swe': [""Europeiska kommissionen, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'hun': [""Európai Bizottság, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'gle': [""An Coimisiún Eorpach, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'ell': [""Ευρωπαϊκή Επιτροπή, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'spa': [""Comisión Europea, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'est': ['Euroopa Komisjon, direction générale de l\'informatique, direction ""Gestion des ressources et optimisation"", unité ""Passations de marchés et gestion de contrats""'], 'nld': [""Europese Commissie, direction générale de l'informatique, direction „Gestion des ressources et optimisation, unité Passations de marchés et gestion de contrats”""], 'fin': ['Euroopan komissio, direction générale de l’informatique, direction ”Gestion des ressources et optimisation”, unité ”Passations de marchés et gestion de contrats”'], 'pol': [""Komisja Europejska, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'hrv': [""Europska komisija, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'dan': [""Europa-Kommissionen, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'ces': [""Evropská komise, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'ron': [""Comisia Europeană, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'por': [""Comissão Europeia, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'slk': [""Európska komisia, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'fra': [""Commission européenne, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'mlt': [""Il-Kummissjoni Ewropea, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'deu': [""Europäische Kommission, direction générale de l'informatique, direction „Gestion des ressources et optimisation“, unité „Passations de marchés et gestion de contrats“""], 'lit': [""Europos Komisija, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'ita': [""Commissione europea, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""], 'bul': [""Европейска комисия, direction générale de l'informatique, direction „Gestion des ressources et optimisation“, unité „Passations de marchés et gestion de contrats“""], 'slv': [""Evropska komisija, direction générale de l'informatique, direction „Gestion des ressources et optimisation“, unité „Passations de marchés et gestion de contrats“""], 'eng': [""European Commission, direction générale de l'informatique, direction «Gestion des ressources et optimisation», unité «Passations de marchés et gestion de contrats»""]}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.885888+00:00
WARM,75.2,55.0,88.0,82.0,"{'lav': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'swe': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'hun': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'gle': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'ell': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'spa': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'est': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'nld': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'fin': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'pol': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'hrv': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'ron': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'dan': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'ces': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'por': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'slk': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'fra': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'mlt': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'deu': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'lit': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'ita': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'bul': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'slv': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu'], 'eng': ['Instytut Pamięci Narodowej – Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.851421+00:00
WARM,75.2,55.0,88.0,82.0,"{'swe': ['Penitenciarul Aiud'], 'lav': ['Penitenciarul Aiud'], 'hun': ['Penitenciarul Aiud'], 'gle': ['Penitenciarul Aiud'], 'ell': ['Penitenciarul Aiud'], 'spa': ['Penitenciarul Aiud'], 'est': ['Penitenciarul Aiud'], 'nld': ['Penitenciarul Aiud'], 'fin': ['Penitenciarul Aiud'], 'pol': ['Penitenciarul Aiud'], 'hrv': ['Penitenciarul Aiud'], 'ron': ['Penitenciarul Aiud'], 'dan': ['Penitenciarul Aiud'], 'ces': ['Penitenciarul Aiud'], 'por': ['Penitenciarul Aiud'], 'slk': ['Penitenciarul Aiud'], 'mlt': ['Penitenciarul Aiud'], 'fra': ['Penitenciarul Aiud'], 'deu': ['Penitenciarul Aiud'], 'lit': ['Penitenciarul Aiud'], 'ita': ['Penitenciarul Aiud'], 'bul': ['Penitenciarul Aiud'], 'slv': ['Penitenciarul Aiud'], 'eng': ['Penitenciarul Aiud']}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.852540+00:00
WARM,75.2,55.0,88.0,82.0,"{'swe': ['Institutul pentru Tehnologii Avansate'], 'lav': ['Institutul pentru Tehnologii Avansate'], 'hun': ['Institutul pentru Tehnologii Avansate'], 'gle': ['Institutul pentru Tehnologii Avansate'], 'ell': ['Institutul pentru Tehnologii Avansate'], 'spa': ['Institutul pentru Tehnologii Avansate'], 'nld': ['Institutul pentru Tehnologii Avansate'], 'est': ['Institutul pentru Tehnologii Avansate'], 'fin': ['Institutul pentru Tehnologii Avansate'], 'pol': ['Institutul pentru Tehnologii Avansate'], 'hrv': ['Institutul pentru Tehnologii Avansate'], 'ron': ['Institutul pentru Tehnologii Avansate'], 'dan': ['Institutul pentru Tehnologii Avansate'], 'ces': ['Institutul pentru Tehnologii Avansate'], 'por': ['Institutul pentru Tehnologii Avansate'], 'slk': ['Institutul pentru Tehnologii Avansate'], 'fra': ['Institutul pentru Tehnologii Avansate'], 'mlt': ['Institutul pentru Tehnologii Avansate'], 'deu': ['Institutul pentru Tehnologii Avansate'], 'lit': ['Institutul pentru Tehnologii Avansate'], 'ita': ['Institutul pentru Tehnologii Avansate'], 'bul': ['Institutul pentru Tehnologii Avansate'], 'slv': ['Institutul pentru Tehnologii Avansate'], 'eng': ['Institutul pentru Tehnologii Avansate']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.853062+00:00
WARM,75.2,55.0,88.0,82.0,{'pol': ['Muzeum Sił Powietrznych w Dęblinie']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.858471+00:00
WARM,75.2,55.0,88.0,82.0,"{'deu': ['Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V.; Generalverwaltung, Finanzabteilung – Referat Einkauf und Versicherungen, Sachgebiet VIII d 2']}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.859910+00:00
